titles,text_author,а,без,бы,был,было,быть,в,вам,вас,во,вот,все,вы,да,даже,для,до,его,ее,ему,если,есть,еще,же,за,и,из,или,к,как,когда,ли,меня,мне,мы,на,не,него,нет,ни,ничего,но,ну,о,он,она,от,по,под,раз,с,себе,себя,со,так,теперь,то,только,тут,ты,у,уже,чего,человек,чем,что,это,я
Случаи mania grandiosa[108 - Мания величия (лат.).],Чехов,0.00980392156862745,0.0032679738562091504,0,0,0,0,0.026143790849673203,0,0,0,0,0.006535947712418301,0.006535947712418301,0,0,0.0032679738562091504,0.0032679738562091504,0.016339869281045753,0,0.0032679738562091504,0,0,0,0,0.013071895424836602,0.042483660130718956,0.0032679738562091504,0.0032679738562091504,0.0032679738562091504,0,0.00980392156862745,0,0,0.0032679738562091504,0,0.029411764705882353,0.026143790849673203,0.006535947712418301,0,0,0,0.0032679738562091504,0.0032679738562091504,0,0.03594771241830065,0,0,0.0032679738562091504,0.0032679738562091504,0,0.006535947712418301,0,0.0032679738562091504,0,0.0032679738562091504,0,0.0032679738562091504,0.006535947712418301,0,0,0.006535947712418301,0,0,0.0032679738562091504,0,0.016339869281045753,0.0032679738562091504,0.0032679738562091504
СЛУЧАЙ,Зощенко,0.024691358024691357,0,0.0049382716049382715,0.0024691358024691358,0.0024691358024691358,0,0.014814814814814815,0,0,0,0.0024691358024691358,0.0024691358024691358,0,0,0.0024691358024691358,0.0024691358024691358,0.0024691358024691358,0,0.0024691358024691358,0.0024691358024691358,0,0.0024691358024691358,0.0024691358024691358,0.0049382716049382715,0.0049382716049382715,0.05925925925925926,0.0024691358024691358,0.0024691358024691358,0.0024691358024691358,0.0049382716049382715,0.0024691358024691358,0,0.007407407407407408,0.0049382716049382715,0.0024691358024691358,0.027160493827160494,0.019753086419753086,0.0024691358024691358,0.0049382716049382715,0,0,0.0024691358024691358,0,0,0.0049382716049382715,0,0,0.0024691358024691358,0,0.0024691358024691358,0.007407407407407408,0,0.0024691358024691358,0,0.0024691358024691358,0,0,0,0.0024691358024691358,0,0.014814814814814815,0,0,0.0049382716049382715,0.0024691358024691358,0.0024691358024691358,0.0049382716049382715,0.0345679012345679
Случай из судебной практики,Чехов,0.006060606060606061,0,0.0015151515151515152,0.0015151515151515152,0.0030303030303030303,0,0.021212121212121213,0.0015151515151515152,0.0015151515151515152,0.0015151515151515152,0,0.004545454545454545,0.004545454545454545,0.0030303030303030303,0,0,0,0.02878787878787879,0.0015151515151515152,0,0.0015151515151515152,0,0.0030303030303030303,0.006060606060606061,0.007575757575757576,0.04242424242424243,0.010606060606060607,0,0.004545454545454545,0.0030303030303030303,0.0030303030303030303,0,0,0.0015151515151515152,0.0015151515151515152,0.016666666666666666,0.013636363636363636,0,0.004545454545454545,0,0,0.0015151515151515152,0,0.0030303030303030303,0.013636363636363636,0,0.007575757575757576,0.0030303030303030303,0.004545454545454545,0,0.00909090909090909,0.004545454545454545,0,0.0015151515151515152,0,0,0.006060606060606061,0.0015151515151515152,0.0015151515151515152,0,0,0.0015151515151515152,0,0.0030303030303030303,0.0015151515151515152,0.012121212121212121,0,0.010606060606060607
Случай с классиком,Чехов,0.016476552598225603,0,0.0063371356147021544,0.0012674271229404308,0.0063371356147021544,0.0025348542458808617,0.020278833967046894,0,0.0025348542458808617,0,0.008871989860583017,0.0038022813688212928,0.0012674271229404308,0.005069708491761723,0,0,0,0.011406844106463879,0.0012674271229404308,0.0038022813688212928,0.0012674271229404308,0,0.0025348542458808617,0.008871989860583017,0.0076045627376425855,0.03929024081115336,0.0038022813688212928,0.0012674271229404308,0.0063371356147021544,0.010139416983523447,0.0012674271229404308,0.0025348542458808617,0.0063371356147021544,0.0038022813688212928,0,0.005069708491761723,0.01394169835234474,0.005069708491761723,0.005069708491761723,0.0012674271229404308,0,0,0.005069708491761723,0.0025348542458808617,0.017743979721166033,0.005069708491761723,0.008871989860583017,0.010139416983523447,0.0025348542458808617,0.0025348542458808617,0.010139416983523447,0,0.0038022813688212928,0.0012674271229404308,0.005069708491761723,0.0012674271229404308,0.005069708491761723,0,0.0012674271229404308,0.015209125475285171,0.017743979721166033,0,0.0038022813688212928,0.005069708491761723,0.0025348542458808617,0.008871989860583017,0.0012674271229404308,0.019011406844106463
Смерть чиновника,Чехов,0.013024602026049204,0,0.001447178002894356,0,0.001447178002894356,0,0.015918958031837915,0.001447178002894356,0.002894356005788712,0.002894356005788712,0.001447178002894356,0.005788712011577424,0.004341534008683068,0.004341534008683068,0.001447178002894356,0.001447178002894356,0,0.004341534008683068,0,0.005788712011577424,0,0.001447178002894356,0,0.004341534008683068,0.004341534008683068,0.04486251808972504,0.001447178002894356,0,0.008683068017366137,0.00723589001447178,0.005788712011577424,0.002894356005788712,0,0,0.001447178002894356,0.015918958031837915,0.03907380607814761,0.004341534008683068,0.002894356005788712,0.001447178002894356,0.005788712011577424,0.008683068017366137,0,0.002894356005788712,0.01881331403762663,0.002894356005788712,0.002894356005788712,0.001447178002894356,0,0,0.008683068017366137,0,0.004341534008683068,0,0.008683068017366137,0.001447178002894356,0.013024602026049204,0.001447178002894356,0.004341534008683068,0.002894356005788712,0.002894356005788712,0.001447178002894356,0,0.001447178002894356,0,0.017366136034732273,0.002894356005788712,0.027496382054992764
Совет,Чехов,0.007633587786259542,0,0.005089058524173028,0,0,0.002544529262086514,0.005089058524173028,0.005089058524173028,0,0,0.005089058524173028,0.002544529262086514,0.010178117048346057,0.01272264631043257,0,0.002544529262086514,0,0.002544529262086514,0,0.01272264631043257,0,0,0,0.002544529262086514,0.015267175572519083,0.03307888040712468,0.005089058524173028,0.002544529262086514,0.002544529262086514,0.005089058524173028,0,0,0,0.007633587786259542,0,0.01272264631043257,0.03816793893129771,0.005089058524173028,0.002544529262086514,0.005089058524173028,0.002544529262086514,0.002544529262086514,0.002544529262086514,0.002544529262086514,0.005089058524173028,0.005089058524173028,0.007633587786259542,0.007633587786259542,0,0,0.020356234096692113,0,0.002544529262086514,0,0.01272264631043257,0,0.010178117048346057,0.007633587786259542,0,0,0.005089058524173028,0,0.002544529262086514,0.007633587786259542,0,0.010178117048346057,0.022900763358778626,0.020356234096692113
Современные молитвы,Чехов,0.008823529411764706,0,0.0029411764705882353,0.0029411764705882353,0.0029411764705882353,0.0029411764705882353,0.014705882352941176,0,0,0.0029411764705882353,0,0.011764705882352941,0,0.0058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0.03529411764705882,0.023529411764705882,0,0,0.0058823529411764705,0,0.011764705882352941,0.014705882352941176,0.01764705882352941,0,0.008823529411764706,0.023529411764705882,0,0.008823529411764706,0.0029411764705882353,0,0.0058823529411764705,0,0.0029411764705882353,0,0.0058823529411764705,0.0029411764705882353,0.0058823529411764705,0,0,0.008823529411764706,0,0,0.0029411764705882353,0,0,0.0058823529411764705,0.0029411764705882353,0,0.0058823529411764705,0.008823529411764706,0,0.0029411764705882353,0.0029411764705882353,0,0.008823529411764706,0,0.0058823529411764705
Сон репортера,Чехов,0.01445466491458607,0,0.002628120893561104,0,0,0.002628120893561104,0.017082785808147174,0.002628120893561104,0.001314060446780552,0.001314060446780552,0.001314060446780552,0.00788436268068331,0.002628120893561104,0,0.001314060446780552,0,0,0.006570302233902759,0.001314060446780552,0.003942181340341655,0.001314060446780552,0,0.002628120893561104,0.002628120893561104,0.00788436268068331,0.04730617608409987,0.005256241787122208,0,0.006570302233902759,0.005256241787122208,0,0,0.002628120893561104,0.001314060446780552,0,0.01576872536136662,0.010512483574244415,0.002628120893561104,0.001314060446780552,0.002628120893561104,0.001314060446780552,0.001314060446780552,0.001314060446780552,0,0.026281208935611037,0.002628120893561104,0.003942181340341655,0.00788436268068331,0.001314060446780552,0.001314060446780552,0.017082785808147174,0.001314060446780552,0.003942181340341655,0,0.006570302233902759,0.001314060446780552,0.009198423127463863,0.002628120893561104,0,0.003942181340341655,0.009198423127463863,0.003942181340341655,0,0,0.001314060446780552,0.006570302233902759,0.009198423127463863,0.005256241787122208
Сонная одурь,Чехов,0.007073386383731211,0.0017683465959328027,0.0035366931918656055,8.841732979664014e-4,0.0017683465959328027,8.841732979664014e-4,0.021220159151193633,0,8.841732979664014e-4,8.841732979664014e-4,0,0.011494252873563218,8.841732979664014e-4,0.002652519893899204,0.0017683465959328027,0,8.841732979664014e-4,0.002652519893899204,0.0035366931918656055,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.005305039787798408,0.007957559681697613,0.046861184792219276,0.0017683465959328027,0.007957559681697613,0.005305039787798408,0.008841732979664015,0.002652519893899204,0.0035366931918656055,0.0017683465959328027,8.841732979664014e-4,0,0.015915119363395226,0.015030946065428824,0.002652519893899204,0.002652519893899204,0.004420866489832007,0.002652519893899204,0.0035366931918656055,0,0.004420866489832007,0.007073386383731211,0.002652519893899204,0.005305039787798408,0.005305039787798408,0.0035366931918656055,0.0017683465959328027,0.010610079575596816,8.841732979664014e-4,0.0017683465959328027,8.841732979664014e-4,0.0035366931918656055,0.0035366931918656055,0.007957559681697613,0.0017683465959328027,8.841732979664014e-4,0,0.010610079575596816,0.0035366931918656055,0,8.841732979664014e-4,8.841732979664014e-4,0.015030946065428824,0.004420866489832007,0.002652519893899204
СПЕШНОЕ ДЕЛО,Зощенко,0.010917030567685589,0.004366812227074236,0.002183406113537118,0,0,0,0.026200873362445413,0,0,0,0.004366812227074236,0.002183406113537118,0,0.002183406113537118,0.006550218340611353,0.002183406113537118,0,0.002183406113537118,0,0,0,0,0.002183406113537118,0.004366812227074236,0.008733624454148471,0.03711790393013101,0.002183406113537118,0,0.002183406113537118,0.008733624454148471,0,0,0.002183406113537118,0,0.004366812227074236,0.006550218340611353,0.019650655021834062,0,0,0,0.002183406113537118,0.006550218340611353,0,0.002183406113537118,0,0,0.004366812227074236,0.010917030567685589,0.006550218340611353,0,0.008733624454148471,0.002183406113537118,0,0.004366812227074236,0.002183406113537118,0,0.002183406113537118,0.006550218340611353,0.010917030567685589,0,0.002183406113537118,0.002183406113537118,0.002183406113537118,0.004366812227074236,0,0.004366812227074236,0.013100436681222707,0.010917030567685589
"Список экспонентов, удостоенных чугунных медалей по русскому отделу на выставке в Амстердаме",Чехов,0.006024096385542169,0,0,0,0,0,0.07228915662650602,0,0,0,0,0,0,0,0,0,0,0.006024096385542169,0,0,0,0,0,0,0.09036144578313253,0.03614457831325301,0,0,0.012048192771084338,0.006024096385542169,0,0,0,0,0,0.018072289156626505,0,0,0,0,0,0,0,0,0,0,0,0.006024096385542169,0,0,0,0,0,0,0,0,0.006024096385542169,0,0,0,0,0,0,0,0,0.006024096385542169,0,0.012048192771084338
Справка,Чехов,0.006220839813374806,0,0.006220839813374806,0.0015552099533437014,0.0015552099533437014,0,0.013996889580093312,0.003110419906687403,0.006220839813374806,0,0.0015552099533437014,0.004665629860031105,0.003110419906687403,0,0.0015552099533437014,0,0,0.012441679626749611,0.004665629860031105,0.004665629860031105,0,0,0.0015552099533437014,0.003110419906687403,0.0015552099533437014,0.05132192846034215,0.004665629860031105,0,0.015552099533437015,0.006220839813374806,0.003110419906687403,0.006220839813374806,0,0.006220839813374806,0,0.02177293934681182,0.013996889580093312,0,0,0,0,0.004665629860031105,0.003110419906687403,0.003110419906687403,0.02332814930015552,0.0015552099533437014,0.003110419906687403,0.003110419906687403,0.0015552099533437014,0.0015552099533437014,0.01866251944012442,0.004665629860031105,0,0.006220839813374806,0.003110419906687403,0,0.007776049766718507,0.006220839813374806,0.0015552099533437014,0,0.0015552099533437014,0.003110419906687403,0,0.0015552099533437014,0,0.015552099533437015,0.003110419906687403,0.017107309486780714
Средство от запоя,Чехов,0.012795905310300703,6.397952655150352e-4,0.0012795905310300703,6.397952655150352e-4,0.0012795905310300703,0.0012795905310300703,0.023672424824056303,6.397952655150352e-4,6.397952655150352e-4,6.397952655150352e-4,0.0025591810620601407,0.005758157389635317,0.0025591810620601407,0.003198976327575176,0.0025591810620601407,0.0012795905310300703,0.0025591810620601407,0.009596928982725527,0,0.0019193857965451055,0,0,0.007677543186180422,0.003838771593090211,0.008957133717210493,0.046065259117082535,0.003838771593090211,0.0019193857965451055,0.009596928982725527,0.005118362124120281,0.003198976327575176,0.0019193857965451055,0.0019193857965451055,0.0012795905310300703,6.397952655150352e-4,0.019193857965451054,0.02431222008957134,0.0025591810620601407,6.397952655150352e-4,0.003198976327575176,0.0019193857965451055,0.007037747920665387,0.0025591810620601407,0.0012795905310300703,0.011516314779270634,6.397952655150352e-4,0.005118362124120281,0.008317338451695458,6.397952655150352e-4,0.0012795905310300703,0.010236724248240563,0.0025591810620601407,0.0012795905310300703,0.003198976327575176,0.0025591810620601407,0.0019193857965451055,0.004478566858605247,0.003198976327575176,0.0012795905310300703,0.01215611004478567,0.005118362124120281,0.0012795905310300703,0.0019193857965451055,0.0012795905310300703,0.0019193857965451055,0.018554062699936022,0.005758157389635317,0.010236724248240563
СТАКАН,Зощенко,0.021937842778793418,0,0,0,0,0,0.021937842778793418,0.0018281535648994515,0.003656307129798903,0,0,0.003656307129798903,0.0018281535648994515,0.003656307129798903,0.003656307129798903,0,0.0018281535648994515,0.003656307129798903,0,0.0018281535648994515,0,0.0018281535648994515,0.005484460694698354,0,0,0.051188299817184646,0.0018281535648994515,0,0.0018281535648994515,0.0018281535648994515,0.0018281535648994515,0.003656307129798903,0.003656307129798903,0.009140767824497258,0,0.014625228519195612,0.021937842778793418,0.0018281535648994515,0,0,0.005484460694698354,0.003656307129798903,0.0018281535648994515,0,0.0018281535648994515,0,0.005484460694698354,0.003656307129798903,0,0,0.0018281535648994515,0,0,0.0018281535648994515,0.0018281535648994515,0,0.003656307129798903,0.009140767824497258,0.007312614259597806,0,0.010968921389396709,0,0,0.0018281535648994515,0.003656307129798903,0.007312614259597806,0.014625228519195612,0.029250457038391225
СТАРАЯ КРЫСА,Зощенко,0.02364864864864865,0,0.0016891891891891893,0.0016891891891891893,0,0,0.016891891891891893,0.0033783783783783786,0.005067567567567568,0,0.0016891891891891893,0.0033783783783783786,0.010135135135135136,0.0033783783783783786,0.0033783783783783786,0.0016891891891891893,0,0.005067567567567568,0,0,0,0,0.006756756756756757,0.008445945945945946,0.013513513513513514,0.02702702702702703,0.0016891891891891893,0,0.0016891891891891893,0.018581081081081082,0.0016891891891891893,0,0.0016891891891891893,0.0033783783783783786,0.0033783783783783786,0.02195945945945946,0.02533783783783784,0.0033783783783783786,0,0,0,0.0033783783783783786,0.005067567567567568,0,0.015202702702702704,0,0.0033783783783783786,0.005067567567567568,0.0016891891891891893,0.0033783783783783786,0.0016891891891891893,0.0016891891891891893,0.0016891891891891893,0.0016891891891891893,0.006756756756756757,0,0,0.0033783783783783786,0.0033783783783783786,0,0.0016891891891891893,0,0.0016891891891891893,0.0033783783783783786,0,0.006756756756756757,0.0016891891891891893,0.033783783783783786
Старость,Чехов,0.013361462728551337,0,0.0028129395218002813,0.005625879043600563,0.004219409282700422,0.0014064697609001407,0.015471167369901548,7.032348804500703e-4,0.005625879043600563,0,0.0028129395218002813,0.0035161744022503515,0.011954992967651195,0.009142053445850914,7.032348804500703e-4,0.002109704641350211,7.032348804500703e-4,0.002109704641350211,0.002109704641350211,7.032348804500703e-4,0.0014064697609001407,7.032348804500703e-4,0.0014064697609001407,0.004219409282700422,0.0035161744022503515,0.04571026722925457,0.006329113924050633,0.0028129395218002813,0.005625879043600563,0.009845288326300985,0.004922644163150493,0.0028129395218002813,0.004922644163150493,0.007735583684950774,7.032348804500703e-4,0.0189873417721519,0.023206751054852322,0.0028129395218002813,0,0.0035161744022503515,0,0.007032348804500703,0.004219409282700422,7.032348804500703e-4,0.009142053445850914,0.004922644163150493,0.0014064697609001407,0.002109704641350211,7.032348804500703e-4,0,0.014767932489451477,0.002109704641350211,0.004219409282700422,0.0028129395218002813,0.007032348804500703,0.005625879043600563,0.006329113924050633,0.0028129395218002813,0.002109704641350211,7.032348804500703e-4,0.006329113924050633,0.0014064697609001407,7.032348804500703e-4,0.0014064697609001407,0.0028129395218002813,0.013361462728551337,7.032348804500703e-4,0.014064697609001406
