name,code,latitude,longitude
Няндомский район,11244,61.929722,40.577009
Корткеросский район,87216,61.924353,52.232165
Сортавальский район,86206,61.816498,30.497885
Красноборский район,11230,61.8066,46.472203
Петрозаводск,86401,61.789036,34.359688
Мегино-Кангаласский район,98229,61.749365,130.571267
Покачи,71184,61.742253,75.59412
Усть-Куломский район,87248,61.714802,54.44149
Пряжинский район,86239,61.696533,33.154329
Сыктывкар,87401,61.668831,50.836461
Нижневартовский район,71119,61.586562,79.692702
Прионежский район,86236,61.559841,34.737026
Сыктывдинский район,87228,61.503133,50.469877
Тенькинский район,44216,61.480628,148.6558
Питкярантский район,86233,61.469569,31.813045
Устьянский район,11254,61.458149,44.073926
Каргопольский район,11218,61.443367,38.772402
Лахденпохский район,86218,61.420921,29.931632
Хангаласский район,98244,61.374775,128.849206
Ханты-Мансийский район,71129,61.3161,68.710169
Коряжма,11408,61.315335,47.159855
Югорск,71187,61.314917,63.331964
Вельский район,11205,61.311379,42.092611
Сургут,71136,61.254035,73.396221
Лангепас,71132,61.253701,75.180725
Котлас,11410,61.25297,46.633217
Вилегодский район,11211,61.226953,48.323918
Котласский район,11227,61.212997,45.962679
Хасынский район,44219,61.158458,151.926629
Олюторский район,30127,61.12542,169.583744
Нефтеюганск,71134,61.088212,72.616331
Олонецкий район,86230,61.076979,32.838724
Сысольский район,87232,61.05534,49.978157
Мегион,71133,61.03289,76.102612
Коношский район,11222,61.009442,40.209293
Ивдельский,65428,60.987819,60.688025
Чердынский район,86007,60.966918,56.710913
Вытегорский район,19222,60.9618,36.795901
Нижневартовск,71135,60.939716,76.569628
Советский район,71124,60.892832,63.364762
Подпорожский район,41236,60.853438,34.704183
Катангский район,25216,60.831752,107.433666
Пыть-Ях,71185,60.758589,72.836526
Приозерский район,41239,60.753284,30.052482
Выборгский район,41215,60.739939,29.158694
Стрежевой,80417,60.732862,77.604002
Великоустюгский район,19214,60.675636,46.049905
Лузский район,33222,60.650292,47.850578
Усть-Майский район,98254,60.624853,135.829493
Амгинский район,98208,60.618334,131.026884
Верховажский район,19216,60.613036,42.099088
Тарногский район,19242,60.585495,43.570438
Людейнопольский район,41227,60.530755,33.726879
Гайнский район,89003,60.5299,53.537156
Койгородский район,87212,60.502461,51.155543
Вожегодский район,19218,60.489797,40.197498
Нюксенский район,19236,60.488325,44.572662
Ленский район,98227,60.447997,113.223039
Нефтеюганский район,71118,60.390306,71.885013
Вашкинский район,19212,60.356033,37.80241
Североуральский,65490,60.346953,59.739359
Охотский район,8234,60.288441,142.106408
Красновишерский район,85956,60.266246,57.988857
Подосиновский район,33232,60.233701,47.335592
Всеволожский район,41212,60.217776,30.676991
Прилузский район,87224,60.212658,49.287721
Александровский,69204,60.159971,78.762523
МО пос. Уральский,65570,60.148073,59.826289
Кирилловский район,19228,60.131456,38.622446
Урай,71138,60.129632,64.803944
Курортный район,40281,60.09307,30.007351
Выборгский район,40265,60.086515,30.229019
Сямженский район,19240,60.04459,41.30689
Северо-Енисейский район,4249,60.024572,93.367711
Приморский район,40270,60.017715,30.185145
Кронштадтский район,40280,60.013056,29.714374
Калининский район,40273,60.007339,30.428337
Волховский район,41209,60.002539,32.61693
Харовский район,19252,60.002108,40.19059
Кичменгско-Городецкий район,19230,59.985674,45.963838
Волчанский,654455,59.970357,60.05553
Белозерский район,19210,59.967255,37.261031
Петроградский район,40288,59.966381,30.28458
Красногвардейский район,40278,59.964458,30.460398
Ольский район,44201,59.951799,153.399399
Василеостровский район,40263,59.941425,30.248045
Кондинский район,71116,59.933681,66.179147
Центральный район,40298,59.930908,30.361817
Адмиралтейский район,40262,59.916825,30.297542
Косинский район,89005,59.912698,55.034091
Усть-Кубинский район,19248,59.908141,39.445689
Невский район,40285,59.881932,30.464602
Кировский район,40276,59.876391,30.257603
Тотемский район,19246,59.868921,42.593017
Петродворцовый район,40290,59.868464,29.949239
Кировский район,41225,59.862931,31.465316
Фрунзенский район,40296,59.854111,30.413919
Московский район,40284,59.852176,30.323073
Бабаевский район,19205,59.83763,35.94658
Сосновоборгский,41454,59.836206,29.037386
Олекминский район,98241,59.832548,121.377406
Ломоносовский район,41230,59.827415,29.398598
Серовский,65492,59.815477,60.985636
Серовский р-н,65238,59.815477,60.985636
Красносельский район,40279,59.790806,30.121769
Колпинский район,40277,59.775082,30.595792
Карпинск,65445,59.766534,60.001227
Краснотурьинск,65456,59.763761,60.193493
Верхнекамский район,33207,59.754198,52.570192
Кочевский район,89004,59.736031,54.236917
Тихвинский район,41245,59.731532,33.298544
Гаринский,65215,59.729182,62.733039
Соликамский район,85992,59.723085,57.276061
Опаринскийрайон,33229,59.716161,47.810765
Сургутский район,71126,59.714255,74.687819
Пушкинский район,40294,59.696674,30.421276
Бабушкинский район,19208,59.677172,43.793077
Енисейский район,4215,59.641235,89.054162
Сокольский район,19238,59.580992,40.724971
Магадан,44401,59.568164,150.808541
Нагорский район,33225,59.553156,50.78099
Никольский район,19234,59.497628,45.248518
Бокситогорский район,41203,59.488245,34.590591
