id,date,total_death_missing,location,lat,lon,collapsed_region,region,collapsed_cause,cause_of_death
4220,13-May-2018,1,"Pima County jurisdiction, Arizona, USA",31.968432,-112.0806495,US-Mexico Border,US-Mexico Border,Starvation / Dehydration,Dehydration
4221,13-May-2018,1,"Syria-Turkey border, near Darkush, Idlib Governorate, Syria",36.00128794,36.37046615,Middle East,Middle East,Shooting,Shot
4222,14-May-2018,7,"Off the coast of Babakale, Ayvacık, Çanakkale province, Turkey",39.45885838,26.05864419,Mediterranean,Mediterranean,Drowning,Drowning
4223,14-May-2018,1,"Unspecified location in the Evros/Meriç river, Greece",40.90201462,26.25263263,Europe,Europe,Drowning,Drowning
4224,15-May-2018,3,"Garin Kowa, Zinder, Niger",14.714414,8.819953,Africa,Sub-Saharan Africa,Sickness,"Sickness and lack of access to medicines, Starvation"
4225,15-May-2018,2,"Near Dire Dawa, Ethiopia",9.573928,41.845284,Africa,Horn of Africa,Shooting,Shot or stabbed
4226,15-May-2018,1,"Train tracks between Avenida I and J, Caborca, Sonora, Mexico",30.71940532,-112.1567047,Central America,Central America,Accident,Hit by train
4227,15-May-2018,1,"Agadez, Niger",16.991703,7.972626,Africa,Sub-Saharan Africa,Sickness,Sickness and lack of access to medicines
4228,15-May-2018,1,"Near Aje, Ethiopia",7.296123,38.354746,Africa,Horn of Africa,Shooting,Shot or stabbed
4229,16-May-2018,2,"Sahara desert, Libya",25.31603,13.954381,Africa,North Africa,Mixed,"Sickness and lack of access to medicines, Dehydration, Harsh weather/lack of adequate shelter, Excessive Physical Abuse"
4230,16-May-2018,1,"Pima County jurisdiction, Arizona, USA",32.0337649,-112.9137217,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
4231,16-May-2018,1,"Cage Ranch, Brooks County, Texas, USA",27.0469674,-98.2500554,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
4232,16-May-2018,1,"Sabha, Libya",27.100393,14.356101,Africa,North Africa,Shooting,Shot or stabbed
4233,16-May-2018,1,"Private ranch in Kenedy County, Texas, USA",26.97235332,-97.82014496,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
4234,17-May-2018,2,"Bani Walid, Libya",31.723048,14.025968,Africa,North Africa,Asphyxiation,"Suffocation, Excessive Physical Abuse"
4235,17-May-2018,2,"Moyale, Ethiopia, on border with Kenya",3.536064,39.065407,Africa,Horn of Africa,Starvation / Dehydration,Starvation
4236,17-May-2018,1,"E42 highway near Maisierès, Mons, Belgium",50.48840737,3.976906143,Europe,Europe,Shooting,Shot
4237,17-May-2018,1,"Pima County jurisdiction, Arizona, USA",31.5268417,-111.6423966,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
4238,17-May-2018,1,"Mrežnica River, near Tounje, Croatia",45.2551786,15.41254493,Europe,Europe,Unknown / Other,Unknown
4239,17-May-2018,1,"Bani Walid, Libya",31.723048,14.025968,Africa,North Africa,Sickness,"Sickness and lack of access to medicines, Starvation, Suffocation"
4240,17-May-2018,1,"Unspecified location in the Sahara desert, Libya",21.14317,23.823002,Africa,North Africa,Accident,Vehicle Accident
4241,17-May-2018,1,"Bani Walid, Libya",31.723048,14.025968,Africa,North Africa,Sickness,"Sickness and lack of access to medicines, Starvation, Excessive Physical Abuse"
4242,17-May-2018,1,Unspecified location in Mali,14.44682,-11.43794,Africa,Sub-Saharan Africa,Unknown / Other,Unknown
4243,18-May-2018,1,"Forest near Alberts, Montgenèvre, Hautes-Alpes, France",44.93716694,6.710634688,Europe,Europe,Unknown / Other,Unknown
4244,18-May-2018,1,"Bhogal district, Delhi, India",28.58381,77.247466,Asia,South Asia,Sickness,Sickness and lack of access to medicines
4245,18-May-2018,1,"Kano, Nigeria",12,8.516667,Africa,Sub-Saharan Africa,Violence,Excessive Physical Abuse
4246,18-May-2018,1,"Sahara desert, Sudan",19.329287,26.43227,Africa,North Africa,Sickness,Sickness and lack of access to medicines
4247,19-May-2018,7,"Lake Mweru, Chiengi district, Luapula Province, Zambia",-8.962610159,28.79253333,Africa,Sub-Saharan Africa,Drowning,Drowning
4248,19-May-2018,3,"Sahara desert, Sudan, near the border with Egypt",21.943709,27.672666,Africa,North Africa,Mixed,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter, Excessive Physical Abuse, Sexual abuse"
4249,19-May-2018,2,"Sahara desert, Libya",24.25199,13.216056,Africa,North Africa,Accident,Vehicle Accident
4250,19-May-2018,1,"Hamilton Ranch, Carrizo Springs, Dimmit County, Texas, US",28.44226217,-100.0308988,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
4251,19-May-2018,1,"Sahara desert, Libya",22.997099,22.518561,Africa,North Africa,Sickness,Sickness and lack of access to medicines
4252,20-May-2018,2,"Kidal, Mali",18.454354,1.409992,Africa,Sub-Saharan Africa,Violence,Excessive Physical Abuse
4253,20-May-2018,1,"Korana river, Cazin, Bosnia and Herzegovina, near border with Croatia",45.05937999,15.7457134,Europe,Europe,Drowning,Drowning
4254,20-May-2018,1,"N'Djamena, Chad",12.113056,15.049167,Africa,Sub-Saharan Africa,Shooting,Shot or stabbed
4255,21-May-2018,1,"Kolpa/Kupa river, near Rosalnicah, Metlika municipality, Slovenia",45.64607273,15.34339613,Europe,Europe,Drowning,Drowning
4256,21-May-2018,1,"North of Mexico's border towns of Candelaria and Cajoncitos, likely in Presidio County, Texas, USA",30.69536885,-104.8766045,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
4257,21-May-2018,1,"Pima County jurisdiction, Arizona, USA",31.5780546,-110.1222086,US-Mexico Border,US-Mexico Border,Harsh Conditions,Probable hyperthermia
4258,21-May-2018,1,Unspecified location in Mali,18.454354,1.409992,Africa,Sub-Saharan Africa,Starvation / Dehydration,Dehydration
4259,22-May-2018,1,"Road near Bayramli, Van province, Turkey",41.306921,26.8232329,Middle East,Middle East,Accident,Vehicle Accident
4260,22-May-2018,1,"Road between San Francisco Telixtlahuaca, Oaxaca, and Tehuacán, Puebla, Mexico",17.31572257,-96.92453667,Central America,Central America,Shooting,Shot
4261,22-May-2018,1,"Between Adjabiya and Tripoli, Libya",29.932036,18.67618,Africa,North Africa,Mixed,"Sickness and lack of access to medicines, Starvation, Dehydration, Suffocation"
4262,22-May-2018,1,"Agadez, Niger",16.975204,7.965108,Africa,Sub-Saharan Africa,Starvation / Dehydration,Dehydration
4263,23-May-2018,15,"Outside Bani Walid, Libya",31.7975831,14.053676,Africa,North Africa,Shooting,Shot
4264,23-May-2018,1,"Near Río Bravo, Webb County, Texas, USA",27.36266416,-99.4918003,US-Mexico Border,US-Mexico Border,Shooting,Shot
4265,23-May-2018,1,"Private ranch, 198 County Road 226, near Falfurrias, Brooks County, Texas, USA",27.1572959,-98.0664756,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
4266,23-May-2018,1,"Near Armstrong, Kenedy County, Texas, USA",26.8747065,-97.82834845,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
4267,23-May-2018,1,"Sahara desert, Libya",22.603239,23.030112,Africa,North Africa,Sickness,Sickness and lack of access to medicines
4268,24-May-2018,18,"Benmansour beach, near Kenitra, Morocco",34.52256837,-6.495380874,Mediterranean,Mediterranean,Drowning,Presumed drowning
4269,24-May-2018,2,"Río Bravo, between Nuevo Laredo, Tamaulipas, Mexico, and Laredo, Webb County, Texas",27.47701975,-99.48124509,US-Mexico Border,US-Mexico Border,Drowning,Drowning
4270,24-May-2018,2,"Sabratha, Libya",32.784352,12.482521,Africa,North Africa,Sickness,Sickness and lack of access to medicines
