pub_ID,pub_name,pub_town
10887,Crowleys,Hastings
10888,Old King John,Hastings
10889,The Palace Beer Hall,Hastings
10890,Moda,Hastings
10892,The Plough Inn,Hastings
10893,The Royal George,Hastings
10896,Brass Monkey,Hastings
10898,The Royal Oak,Pett
10899,Royal Standard,Hastings
109,The Moorfields Inn,Bath
1090,The March Hare,Dunton
10904,The Stag,Hastings
10905,Yates,Hastings
10907,The Jenny Lind,Hastings
10908,Three Oaks,Three Oaks
10909,Two Sawyers,Pett
10912,Ye Olde Pump House,Hastings
10913,White Rock Hotel,Hastings
10916,The Star Inn,Old Heathfield
10917,The Swan Inn,Dallington
10919,The Three Cups Inn,Three Cups Corner
10921,The Albion,Hove
10922,The Westbourne,Hove
10923,The Urchin,Hove
10924,The Bow Street Runner,Hove
10929,Cliftonville Inn (JD Wetherspoon),Hove
10930,Bottom's Rest,Hove
10931,Coopers Cask,Hove
10935,The Poets Corner,Hove
10937,The Exchange,Hove
10938,Farm Tavern,Hove
10939,Freemasons Tavern,Hove
10941,The Grenadier,Hove
10942,Hangleton Manor,Hangleton
10944,The Blind Busker,Hove
10946,The Hove Park Tavern,Hove
10948,The Southern Belle,Hove
10949,The Paris House,Hove
1095,The Rose,Biggleswade
10954,Neptune Inn,Hove
10955,The Nevill,Hove
10956,The Palmeira,Hove
10957,The Stoneham,Hove
10959,The Better Half,Hove
1096,Stratton House Hotel,Biggleswade
10962,Ancient Mariner,Hove
10964,The Seafield,Hove
10969,The Foragers,Hove
1097,The Crown Hotel,Biggleswade
10970,The Sussex,Hove
10971,The Sussex Cricketer,Hove
10973,The Connaught,Hove
10978,The Wick Inn,Hove
1098,The Wheatsheaf,Biggleswade
1099,Whistle & Flute,Biggleswade
110,Flan O'Briens,Bath
1100,The White Hart,Biggleswade
11026,The Ark Inn,Newhaven
11029,The Engineer,Newhaven
1103,The Yorkshire Grey,Biggleswade
11030,The Flying Fish,Newhaven
11031,The Hampden Arms,South Heighton
11032,The Hope Inn,Newhaven
11035,The Prince Of Wales,Newhaven
11037,The Ship Hotel,Newhaven
11046,Bay Hotel,Pevensey Bay
11048,The Castle Inn,Pevensey Bay
11049,The Moorings,Pevensey Bay
11050,The Heron,Westham
11051,Priory Court Hotel,Pevensey
11052,The Red Lion,Stone Cross
11053,The Royal Oak & Castle Inn,Pevensey
11054,The Smugglers Inn,Pevensey
11056,The Dinkum,Polegate
11057,The Giants Rest,Wilmington
11059,The George Inn,Alfriston
11060,The Star Inn,Alfriston
11061,The Thoroughbred Inn,Polegate
11062,Ye Olde Smugglers Inn,Alfriston
11063,The Cross Inn,Staplecross
11065,Ostrich Hotel,Robertsbridge
11066,The Salehurst Halt,Salehurst
1107,The Bell Inn,Studham
1109,The Bell,Toddington
11107,The Kings Head,Seaford
11109,The Cinque Ports,Seaford
11112,The Shore,Seaford
11113,The Office Bar,Seaford
11114,The Old Plough,Seaford
11115,The Seven Sisters,Seaford
11116,The White Lion Hotel,Seaford
11117,The Wellington,Seaford
11120,Bull Inn,Bulverhythe
11122,The Clarence,St. Leonards-On-Sea
11125,The Comet,St. Leonards-On-Sea
11126,The Duke,St. Leonards-On-Sea
11129,The Marina Fountain,St. Leonards-On-Sea
11132,Harrow Inn,Baldslow
11133,Hollington Oak,St. Leonards-On-Sea
11134,Horse & Groom,St. Leonards-On-Sea
11136,The Nags Head,St. Leonards-On-Sea
11137,The Dripping Spring,St. Leonards-On-Sea
11138,The North Star Inn,St. Leonards-On-Sea
11139,Old England,St. Leonards-On-Sea
1114,The Carpenters Arms,Harlington
11141,The Railway,St. Leonards-On-Sea
11143,Paddy McGintys,St. Leonards-On-Sea
11144,The Royal Albert,St. Leonards-On-Sea
11145,The Royal,St. Leonards-On-Sea
11150,The Tower,St. Leonards-On-Sea
11153,The St Leonard,St. Leonards-On-Sea
11154,The Welcome,St. Leonards-On-Sea
1116,The White Lion,Dunstable
1117,Chequers,Houghton Regis
1118,The Cross Keys,Totternhoe
11184,The New Inn,Winchelsea
11186,The Queens Head,Icklesham
11187,The Robin Hood,Icklesham
11189,The Barking Dog (JD Wetherspoon),Barking
1119,The Crown,Houghton Regis
11190,The Kings Lounge,Barking
11198,The Royal Oak,Barking
112,The New Crown,Bath
1120,The Wheatsheaf,Dunstable
11208,The Castle Mayne,Basildon
11210,The Crane,Basildon
11211,Miller & Carter,Langdon Hills
11214,The Four Seasons,Laindon
11216,The Jolly Friar,Basildon
11218,Moon On The Square (JD Wetherspoon),Basildon
1122,The Ewe & Lamb,Dunstable
11221,Noak Bridge,Noak Bridge
11222,The Edge,Basildon
11223,The Plough & Tractor,Basildon
11225,The Anchor Inn,Benfleet
11227,Bread & Cheese,Benfleet
11228,The Castle,Hadleigh
1123,The Fancott,Fancott
11232,The Half Crown,Benfleet
11233,Hoy & Helmet,Benfleet
11235,White Hart,Thundersley
11236,Woodmans Arms,Thundersley
11237,The Zach Willsher,Benfleet
1124,The Farmers Boy,Kensworth
11240,The Dukes Head,Little Burstead
11241,The Chequers,Billericay
11242,Coach & Horses,Billericay
11243,Crown,Billericay
11244,The Forge,Billericay
11245,Fox & Hounds,Ramsden Heath
11247,The Pilgrim,Billericay
11249,The Railway,Billericay
11251,The White Horse,Ramsden Heath
11253,The Angel,Braintree
11254,Bell Inn,Great Bardfield
11255,The Bell Inn,Panfield
11257,The Boars Head,Braintree
11259,The Bull,Braintree
1126,The Glider,Dunstable
11260,Compasses Inn,Pattiswick
11262,The Eagle,Braintree
11264,The Fox Inn,Finchingfield
11265,Green Dragon,Black Notley
11266,Hare & Hound,Braintree
11267,Horse & Groom,Braintree
11269,King William IV,Great Notley
1127,The Globe,Dunstable
11274,The Nags Head,Braintree
11275,The Onley,Stisted
11276,The Orange Tree,Braintree
11279,The Finchingfield Lion,Finchingfield
