word,John,Luke,Mark,Matthew
betrayeth,2.0627062706270627e-4,1.3871549452073797e-4,2.449779519843214e-4,1.4734050390452334e-4
blessed,4.1254125412541255e-4,0.003884033846580663,0.0017148456638902498,0.0026521290702814205
blind,0.0037128712871287127,0.0011097239561659038,0.001224889759921607,0.0026521290702814205
blood,0.0012376237623762376,0.0011097239561659038,7.349338559529642e-4,0.0017680860468542803
body,0.0010313531353135313,0.0018033014287695936,0.0014698677119059284,0.00221010755856785
book,2.0627062706270627e-4,6.935774726036898e-4,2.449779519843214e-4,1.4734050390452334e-4
born,0.0035066006600660065,4.161464835622139e-4,2.449779519843214e-4,0.0010313835273316634
borne,4.1254125412541255e-4,1.3871549452073797e-4,2.449779519843214e-4,2.946810078090467e-4
bound,8.250825082508251e-4,4.161464835622139e-4,9.799118079372856e-4,5.893620156180934e-4
brake,4.1254125412541255e-4,6.935774726036898e-4,0.001224889759921607,4.420215117135701e-4
branches,4.1254125412541255e-4,1.3871549452073797e-4,4.899559039686428e-4,2.946810078090467e-4
bread,0.004125412541254125,0.0019420169232903315,0.0034296913277804997,0.002062767054663327
brethren,0.0012376237623762376,0.0013871549452073796,0.0017148456638902498,0.0023574480624723735
bridegroom,6.188118811881188e-4,2.7743098904147595e-4,7.349338559529642e-4,8.840430234271402e-4
bring,0.0014438943894389438,0.0020807324178110697,0.0017148456638902498,0.0017680860468542803
bringeth,4.1254125412541255e-4,5.548619780829519e-4,2.449779519843214e-4,0.0013260645351407102
broken,0.0012376237623762376,2.7743098904147595e-4,7.349338559529642e-4,4.420215117135701e-4
brother,0.0016501650165016502,0.0018033014287695936,0.002939735423811857,0.0030941505819949903
brought,0.0016501650165016502,0.0027743098904147593,0.0031847133757961785,0.0033888315898040373
buy,6.188118811881188e-4,2.7743098904147595e-4,4.899559039686428e-4,4.420215117135701e-4
caesar,4.1254125412541255e-4,6.935774726036898e-4,4.899559039686428e-4,2.946810078090467e-4
caesar's,2.0627062706270627e-4,2.7743098904147595e-4,4.899559039686428e-4,2.946810078090467e-4
call,6.188118811881188e-4,9.710084616451658e-4,9.799118079372856e-4,0.0013260645351407102
called,0.004537953795379538,0.004993757802746567,0.0031847133757961785,0.005304258140562841
calleth,4.1254125412541255e-4,5.548619780829519e-4,9.799118079372856e-4,1.4734050390452334e-4
canst,4.1254125412541255e-4,2.7743098904147595e-4,7.349338559529642e-4,2.946810078090467e-4
capernaum,0.0010313531353135313,5.548619780829519e-4,7.349338559529642e-4,5.893620156180934e-4
cast,0.0028877887788778876,0.004300180330142877,0.006859382655560999,0.007072344187417121
caught,4.1254125412541255e-4,1.3871549452073797e-4,2.449779519843214e-4,2.946810078090467e-4
chief,0.002268976897689769,0.0027743098904147593,0.0039196472317491425,0.002946810078090467
child,4.1254125412541255e-4,0.0024968789013732834,0.001224889759921607,0.002504788566376897
children,0.0012376237623762376,0.003190456373976973,0.002449779519843214,0.004567555621040224
chosen,0.0010313531353135313,2.7743098904147595e-4,2.449779519843214e-4,4.420215117135701e-4
christ,0.004331683168316832,0.0019420169232903315,0.0019598236158745713,0.002504788566376897
city,0.0016501650165016502,0.004993757802746567,0.0017148456638902498,0.0032414910858995136
clean,8.250825082508251e-4,5.548619780829519e-4,4.899559039686428e-4,7.367025195226168e-4
clothes,8.250825082508251e-4,6.935774726036898e-4,9.799118079372856e-4,4.420215117135701e-4
cock,4.1254125412541255e-4,4.161464835622139e-4,9.799118079372856e-4,4.420215117135701e-4
colt,2.0627062706270627e-4,5.548619780829519e-4,9.799118079372856e-4,4.420215117135701e-4
cometh,0.008457095709570957,0.0026355943958940213,0.0046545810877021065,0.0030941505819949903
comfort,2.0627062706270627e-4,1.3871549452073797e-4,2.449779519843214e-4,1.4734050390452334e-4
coming,0.0018564356435643563,0.0013871549452073796,0.0014698677119059284,0.0014734050390452335
command,4.1254125412541255e-4,4.161464835622139e-4,2.449779519843214e-4,4.420215117135701e-4
commanded,2.0627062706270627e-4,0.0012484394506866417,0.002449779519843214,0.0014734050390452335
commandment,0.0014438943894389438,2.7743098904147595e-4,0.001224889759921607,7.367025195226168e-4
commandments,8.250825082508251e-4,2.7743098904147595e-4,7.349338559529642e-4,5.893620156180934e-4
commit,2.0627062706270627e-4,4.161464835622139e-4,2.449779519843214e-4,5.893620156180934e-4
committed,2.0627062706270627e-4,1.3871549452073797e-4,2.449779519843214e-4,1.4734050390452334e-4
committeth,2.0627062706270627e-4,2.7743098904147595e-4,4.899559039686428e-4,2.946810078090467e-4
condemn,4.1254125412541255e-4,4.161464835622139e-4,2.449779519843214e-4,4.420215117135701e-4
condemned,6.188118811881188e-4,2.7743098904147595e-4,2.449779519843214e-4,4.420215117135701e-4
converted,2.0627062706270627e-4,1.3871549452073797e-4,2.449779519843214e-4,2.946810078090467e-4
corn,2.0627062706270627e-4,2.7743098904147595e-4,7.349338559529642e-4,2.946810078090467e-4
council,2.0627062706270627e-4,1.3871549452073797e-4,4.899559039686428e-4,4.420215117135701e-4
counsel,4.1254125412541255e-4,2.7743098904147595e-4,2.449779519843214e-4,5.893620156180934e-4
country,6.188118811881188e-4,0.0022194479123318076,0.002449779519843214,0.0011787240312361867
crew,2.0627062706270627e-4,1.3871549452073797e-4,4.899559039686428e-4,1.4734050390452334e-4
cried,0.0020627062706270625,0.0013871549452073796,0.0034296913277804997,0.0014734050390452335
cross,8.250825082508251e-4,4.161464835622139e-4,0.001224889759921607,7.367025195226168e-4
crow,2.0627062706270627e-4,2.7743098904147595e-4,4.899559039686428e-4,2.946810078090467e-4
crucified,0.0012376237623762376,5.548619780829519e-4,0.001224889759921607,0.0011787240312361867
crucify,0.0012376237623762376,2.7743098904147595e-4,9.799118079372856e-4,4.420215117135701e-4
crying,2.0627062706270627e-4,2.7743098904147595e-4,7.349338559529642e-4,4.420215117135701e-4
cup,2.0627062706270627e-4,6.935774726036898e-4,0.001224889759921607,0.0011787240312361867
custom,2.0627062706270627e-4,6.935774726036898e-4,2.449779519843214e-4,2.946810078090467e-4
cut,4.1254125412541255e-4,5.548619780829519e-4,9.799118079372856e-4,5.893620156180934e-4
damnation,2.0627062706270627e-4,1.3871549452073797e-4,4.899559039686428e-4,2.946810078090467e-4
darkness,0.0014438943894389438,8.322929671244278e-4,2.449779519843214e-4,0.0013260645351407102
daughter,2.0627062706270627e-4,0.0012484394506866417,0.0019598236158745713,0.0013260645351407102
david,4.1254125412541255e-4,0.0016645859342488557,0.0017148456638902498,0.002504788566376897
day,0.00825082508250825,0.008739076154806492,0.005389514943655071,0.005746279652276411
days,0.0020627062706270625,0.005132473297267305,0.0046545810877021065,0.0033888315898040373
dead,0.004331683168316832,0.0026355943958940213,0.0031847133757961785,0.0023574480624723735
death,0.0024752475247524753,0.0013871549452073796,0.002449779519843214,0.0017680860468542803
delivered,0.0012376237623762376,0.0022194479123318076,0.0014698677119059284,0.0010313835273316634
denied,8.250825082508251e-4,4.161464835622139e-4,4.899559039686428e-4,2.946810078090467e-4
depart,6.188118811881188e-4,0.0012484394506866417,7.349338559529642e-4,8.840430234271402e-4
departed,0.0010313531353135313,0.0020807324178110697,0.0017148456638902498,0.0035361720937085606
desert,2.0627062706270627e-4,4.161464835622139e-4,9.799118079372856e-4,4.420215117135701e-4
desired,2.0627062706270627e-4,8.322929671244278e-4,2.449779519843214e-4,2.946810078090467e-4
destroy,4.1254125412541255e-4,6.935774726036898e-4,0.0014698677119059284,0.0011787240312361867
devil,0.0020627062706270625,0.0018033014287695936,0.0014698677119059284,0.0017680860468542803
die,0.0035066006600660065,5.548619780829519e-4,7.349338559529642e-4,4.420215117135701e-4
died,6.188118811881188e-4,8.322929671244278e-4,4.899559039686428e-4,1.4734050390452334e-4
disciples,0.013407590759075907,0.004855042308225829,0.011268985791278784,0.010461175777221159
doctrine,6.188118811881188e-4,1.3871549452073797e-4,0.001224889759921607,4.420215117135701e-4
doest,8.250825082508251e-4,1.3871549452073797e-4,2.449779519843214e-4,4.420215117135701e-4
door,0.0014438943894389438,4.161464835622139e-4,0.001224889759921607,5.893620156180934e-4
doth,0.0010313531353135313,0.0013871549452073796,7.349338559529642e-4,0.0013260645351407102
doubt,2.0627062706270627e-4,1.3871549452073797e-4,2.449779519843214e-4,2.946810078090467e-4
dove,2.0627062706270627e-4,1.3871549452073797e-4,2.449779519843214e-4,1.4734050390452334e-4
drew,6.188118811881188e-4,9.710084616451658e-4,4.899559039686428e-4,5.893620156180934e-4
drink,0.0014438943894389438,0.0013871549452073796,0.002449779519843214,0.002504788566376897
durst,2.0627062706270627e-4,1.3871549452073797e-4,2.449779519843214e-4,1.4734050390452334e-4
ear,4.1254125412541255e-4,4.161464835622139e-4,7.349338559529642e-4,2.946810078090467e-4
earth,8.250825082508251e-4,0.0023581634068525455,0.002204801567858893,0.0039781936054221305
eat,0.003094059405940594,0.003745318352059925,0.006369426751592357,0.002504788566376897
eaten,4.1254125412541255e-4,2.7743098904147595e-4,2.449779519843214e-4,1.4734050390452334e-4
